Genes,DPD_BL,DPD_onc,DPD_risk,DPD_T2,DPD_Ta,DPD_immuno,DPD_immuno_0
EDEM1,0.0,-0.00021106993820744,0.0,0.0,0.0,0.0,-0.05277464941866153
EDN1,-0.0747570311691752,0.0506167941383431,0.0376252938298666,-0.0747570311691752,0.162858210507942,0.0,-0.01811223752544185
EED,0.0,0.00579401678064185,0.0,0.0,0.0,0.0,0.0183996927370359
EFCAB14,0.0160300476566867,-0.00397882477907569,0.0,0.0160300476566867,-0.0493206101508892,0.0,-0.02492382100686215
EGF,0.0,0.0193206316886349,0.0,0.0,0.0,0.0,0.0058398101691944215
EGFR,0.0,0.023067955006101,0.00607567105916702,0.0,0.0,0.0,0.022097134948629263
EGR1,0.0622768700620298,-0.020963319052813,1.05954720073485e-05,0.0622768700620298,0.00246984559332412,0.0,0.02106652517251872
EIF4EBP1,0.0,-0.00298832126568161,0.0,0.0,0.0,0.0,-0.03725719523170415
EIF4G1,0.0,0.0160518163464241,0.0,0.0,0.0,0.0,0.013161612116089077
EIF5,0.0,0.0192212526910395,0.0,0.0,0.0,0.0,-0.03993867134260863
ELAC2,0.0,0.00537574141328805,0.00031653477827481,0.0,0.0,0.0,0.007680576536479511
ELAVL1,0.0,-0.0174292978707743,-0.0203685420998211,0.0,0.0,0.0,0.02892346043513685
ELOVL6,0.0,0.000318483540937142,0.0,0.0,0.0,0.0,0.006385265629428529
ELP1,0.0,0.0175686494803039,0.0,0.0,0.0,0.0,-0.022723261608535213
EML3,0.0,-0.003164625926224,0.04798288120817,0.0,0.0,0.0,0.012340522027277449
ENOPH1,0.0,-0.0124139043230472,0.0,0.0,0.0,0.0,-0.051341808160355065
